Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Reporte Individual,700,723,579,1111,79.29,0.000%,6.95459,38369.56,1.47,5649571.0
TOTAL,700,723,579,1111,79.29,0.000%,6.95459,38369.56,1.47,5649571.0
