Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Reporte Individual,100,956,881,1017,25.42,0.000%,1.98236,10936.98,0.41,5649571.0
TOTAL,100,956,881,1017,25.42,0.000%,1.98236,10936.98,0.41,5649571.0
